Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Louisville,ACC,Sep-00,28.14,113.5,85.4,66.1,0.008,-1.18,99.9,101.1,-4.86
2,Ohio St.,B10,Aug-00,27.48,110.9,83.4,65.7,0.006,-1.48,100.5,102,-1.48
3,Duke,ACC,1-Sep,26.37,111.9,85.6,73.2,0.038,4,102.7,98.7,2.24
4,Michigan St.,B10,3-May,25.21,115.2,90,70.3,-0.072,9.9,105.8,95.9,9.9
5,Purdue,B10,3-May,23.82,110.3,86.5,63.4,-0.134,5.62,101.4,95.8,5.62
6,Kansas,B12,1-Jun,23.39,110.7,87.3,71.3,0.031,9.29,105.1,95.8,9.29
7,Maryland,B10,Sep-00,23.23,112.2,89,72.1,0.008,1.53,99.9,98.3,1.53
8,Kentucky,SEC,1-Jun,22.45,109.6,87.2,69.4,-0.02,-6.96,95.7,102.7,-6.96
9,Gonzaga,WCC,1-Sep,22.26,113.3,91,70.8,0.033,-5.33,95.7,101,-5.33
10,Virginia,ACC,1-Jul,21.82,102.5,80.7,59.5,0.181,1.68,99.9,98.2,-0.84
11,Baylor,B12,1-Jun,21.16,111.9,90.7,68.6,-0.032,-0.75,99.2,99.9,-0.75
12,Michigan,B10,1-Aug,21,109.9,88.9,70.5,0.09,8.24,105.6,97.4,7.78
13,Seton Hall,BE,2-Jun,20.56,111.6,91,71.2,-0.122,1.64,100.4,98.8,1.64
14,Auburn,SEC,Aug-00,20.38,110.7,90.3,71.4,0.118,3.62,104.5,100.8,3.62
15,Oregon,P12,2-Jun,20.16,111.8,91.6,66.2,-0.065,10.22,106.1,95.9,10.22
16,Butler,BE,Aug-00,20.1,110.7,90.6,63.5,0.07,0.41,99.9,99.5,0.41
17,Villanova,BE,2-Jun,19.99,114.2,94.2,69.6,0.066,3.13,101.4,98.2,3.13
18,Florida St.,ACC,2-Jul,19.98,106.4,86.4,70.6,0.059,7.28,103.9,96.6,5.55
19,Arizona,P12,Sep-00,19.84,112.1,92.3,71.7,0.091,-3.13,99.9,103,-3.13
20,Indiana,B10,Aug-00,19.32,109.8,90.5,70.9,0.011,-7.11,97.7,104.8,-7.11
21,Tennessee,SEC,1-Jul,19.15,108.6,89.5,66.2,-0.021,-2.91,97,99.9,-2.91
22,Dayton,A10,1-Jun,18.83,112.9,94.1,69,-0.055,0.86,102,101.2,0.86
23,Penn St.,B10,1-Jul,18.73,107,88.3,73.3,-0.038,-0.04,99.3,99.3,-0.04
24,North Carolina,ACC,2-Jun,18.65,109.1,90.5,71.9,0.147,6.89,103.1,96.2,6.76
25,San Diego St.,MWC,Sep-00,17.5,106.9,89.4,66.3,0.02,0.84,102,101.2,-0.19
26,Oklahoma St.,B12,1-Jul,17.36,106.5,89.2,72.4,0.047,1.54,100.6,99.1,1.54
27,Arkansas,SEC,Aug-00,17.24,104.7,87.5,70,0.077,-3.74,98.7,102.4,-3.74
28,Xavier,BE,1-Aug,17.23,106.8,89.5,70,0.038,-0.29,99.3,99.6,-0.29
29,Texas Tech,B12,3-May,17.12,106,88.9,68.6,-0.142,-3.23,99.9,103.1,-3.23
30,Marquette,BE,2-Jun,16.98,107.6,90.6,74.5,0.097,6.37,102.7,96.3,6.37
31,LSU,SEC,2-Jun,16.85,112,95.1,72.5,-0.093,0.39,99.5,99.1,0.39
32,Florida,SEC,2-Jun,16.83,106.5,89.7,64.8,0.042,3.89,102.3,98.4,3.89
33,Colorado,P12,Jul-00,16.5,104.6,88.1,71.1,0.005,-1.39,97.1,98.5,-1.39
34,West Virginia,B12,Jul-00,16.17,107.6,91.4,71.8,0.061,3.91,100.3,96.4,3.91
35,VCU,A10,2-Jun,15.97,105.5,89.5,72.1,-0.044,-1.63,98.5,100.2,-1.63
36,Houston,Amer,2-Apr,15.69,110,94.3,68.3,-0.06,-1,100.4,101.4,-1
37,Memphis,Amer,1-Jul,15.66,108.1,92.5,76.6,0.06,-2.49,98.5,101,-2.49
38,N.C. State,ACC,2-Jun,15.55,112,96.4,68.8,-0.125,-4.48,96.3,100.8,-6.32
39,Iowa St.,B12,3-May,15.37,109.8,94.4,73.5,-0.133,2.56,100.9,98.4,2.56
40,Iowa,B10,3-Jun,15.27,113.7,98.4,71.1,-0.028,4.15,101.6,97.5,1.02
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
41,Oklahoma,B12,1-Jul,15.27,107.5,92.2,73.1,0.155,2.91,101.1,98.2,2.91
42,Saint Mary's,WCC,1-Sep,15.22,111.1,95.8,63.9,0.004,-4.55,97.8,102.4,-4.55
43,Washington,P12,1-Jul,14.26,103.5,89.3,72.2,0.047,-2.46,98.7,101.1,-2.46
44,Texas,B12,1-Jul,14.2,105.7,91.5,66.3,0.113,-2.45,98.8,101.3,-2.45
45,Utah St.,MWC,1-Aug,14.19,108.4,94.2,70.6,0.058,-6.67,96.6,103.2,-5.86
46,Illinois,B10,2-Jun,14.19,108.9,94.7,70,-0.005,-3.63,100.3,103.9,-3.63
47,Cincinnati,Amer,2-Jun,13.96,105.8,91.9,71.7,0.039,-0.35,99.1,99.5,-0.35
48,Wichita St.,Amer,1-Jul,13.8,102.2,88.4,69.7,0.028,-5.42,99,104.4,-5.42
49,Connecticut,Amer,2-Jun,13.59,105.6,92.1,69.6,-0.074,-0.38,100.6,101,-0.38
50,DePaul,BE,Sep-00,13.49,105.1,91.6,70,0.037,0.24,100.7,100.4,0.24
51,TCU,B12,1-Jun,13.48,103.3,89.9,68.2,-0.011,-4.61,97.6,102.2,-4.61
52,Mississippi St.,SEC,2-Jun,13.4,108.8,95.4,64.6,-0.044,-1.64,100.1,101.7,-1.64
53,Stanford,P12,1-Aug,13.34,104.4,91.1,68.3,-0.083,-6.52,96,102.5,-6.52
54,Georgetown,BE,3-May,12.78,108,95.3,73.1,-0.008,6.62,102.1,95.5,6.62
55,Creighton,BE,2-Jun,12.62,110.3,97.7,67.5,0.149,1.16,100.5,99.3,1.16
56,Notre Dame,ACC,2-Jun,12.44,104.2,91.8,68.8,0.057,-5.61,97.8,103.4,-9.49
57,Virginia Tech,ACC,3-Jun,12.25,108.3,96,65.1,0.028,2.31,101.2,98.9,-5.24
58,USC,P12,2-Jul,12.09,105.8,93.7,73.1,0.067,-0.2,99.7,99.9,-0.2
59,Wisconsin,B10,4-Apr,11.91,102.9,91,63.2,-0.09,4.08,104.8,100.7,4.08
60,Temple,Amer,1-Jun,11.88,102.1,90.2,69.3,0.015,4.43,101.7,97.3,4.43
61,Oregon St.,P12,1-Jul,11.86,108.5,96.6,67.9,0.024,-5.57,98,103.5,-5.57
62,BYU,WCC,4-Jun,11.83,109.3,97.4,70.2,-0.041,8.73,104.4,95.7,8.73
63,Georgia,SEC,2-Jun,11.77,108,96.2,74.4,0.021,-3.85,99.1,102.9,-3.85
64,Missouri,SEC,4-Apr,11.67,102.9,91.3,67,-0.143,-0.64,99.8,100.5,-0.64
65,Minnesota,B10,4-Apr,11.44,105.6,94.1,67.1,-0.201,3.38,101.7,98.3,3.38
66,Arizona St.,P12,2-May,11.44,104,92.5,73,-0.015,5.32,101.8,96.5,5.32
67,Syracuse,ACC,4-Apr,11.3,103.2,91.9,67.9,-0.091,3.73,101.8,98.1,1.91
68,Providence,BE,5-May,11.22,102.8,91.6,71.8,-0.177,-2.78,99,101.8,-2.78
69,Furman,SC,3-Jul,11.14,105.8,94.7,69.6,-0.085,4.69,101.3,96.6,4.69
70,Georgia Tech,ACC,2-Apr,11.08,101,89.9,71.5,-0.061,2.44,101.4,98.9,-1.84
71,Louisiana Tech,CUSA,2-Jun,10.83,107.2,96.4,71,-0.055,0.54,100.4,99.8,0.54
72,Mississippi,SEC,3-May,10.77,103.4,92.6,70.6,0.047,2.91,101,98.1,2.91
73,Pittsburgh,ACC,3-Jul,10.53,103.7,93.1,64.3,0.08,2.82,99.1,96.3,-1.91
74,Richmond,A10,1-Jul,10.49,108.9,98.4,66.9,0.088,-2.54,99.9,102.5,-2.54
75,Liberty,ASun,Oct-00,10.33,104.2,93.9,62.9,0.056,-11.28,94.6,105.9,-11.28
76,East Tennessee St.,SC,1-Aug,10.28,108.3,98.1,68.6,0.089,-4.33,97.9,102.2,-3.65
77,Rutgers,B10,2-Jun,10.08,103.5,93.4,69.6,0.014,-7.2,96.1,103.3,-7.2
78,Kansas St.,B12,2-May,9.66,99.1,89.5,68.7,-0.009,-6.65,94.9,101.5,-6.65
79,Toledo,MAC,2-Jun,9.58,104.5,94.9,69.9,-0.086,-5.25,96.7,101.9,-5.25
80,Clemson,ACC,3-May,9.3,102.4,93.1,68.9,-0.053,-0.61,100,100.6,-2.24
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
81,Miami FL,ACC,3-May,9.27,109.4,100.1,68.5,0.142,8.34,103.9,95.6,6.06
82,Rhode Island,A10,3-Jun,9.22,103.3,94.1,73,0.056,4.59,102.1,97.5,4.59
83,SMU,Amer,Aug-00,9.21,105.9,96.7,64.8,0.071,-12.65,92.9,105.5,-12.65
84,Duquesne,A10,Jul-00,9.21,102.7,93.4,67.9,0.053,-6.56,98.2,104.7,-6.56
85,Alabama,SEC,4-Apr,9.18,104.9,95.7,76,-0.067,4.17,101.7,97.5,4.17
86,Davidson,A10,5-Mar,9.12,106.3,97.2,68.3,-0.162,5.16,101.7,96.5,5.16
87,Belmont,OVC,3-Jun,9.07,106.9,97.8,71.7,-0.068,-0.77,98.9,99.7,-0.77
88,Yale,Ivy,3-Jul,8.35,101.6,93.3,66.5,-0.09,4.98,102.4,97.4,4.98
89,Vermont,AE,4-Jun,8.27,102,93.7,68,-0.006,6.01,101.8,95.8,6.01
90,New Mexico St.,WAC,4-May,8.14,104.6,96.5,65.6,0.004,3.5,100.6,97.1,3.5
91,New Mexico,MWC,2-Aug,8.01,106.8,98.8,71.9,0.135,1.63,101.3,99.6,1.83
92,Nevada,MWC,3-Jun,8,106,98,70.8,0.01,1.02,100.8,99.8,1.02
93,Wake Forest,ACC,4-May,7.98,104.2,96.2,70.2,-0.009,3.98,102,98,3.69
94,Western Kentucky,CUSA,3-Jun,7.87,107.4,99.5,69,-0.028,-0.04,99.4,99.4,-0.04
95,UNC Greensboro,SC,2-Jul,7.38,99.5,92.2,67.3,-0.038,-9.53,93.5,103,-7.82
96,Akron,MAC,2-Jun,7.22,100.9,93.7,73.3,-0.065,-5.47,96.2,101.7,-5.47
97,Northern Iowa,MVC,1-Aug,7.02,102.1,95.1,65.4,0.028,-2.09,98.6,100.7,-2.09
98,Harvard,Ivy,4-May,6.89,103.2,96.3,68.6,-0.031,2.02,101.4,99.3,2.02
99,Northwestern,B10,3-Apr,6.83,101.8,95,68.7,-0.043,-1.02,98,99,-1.02
100,St. John's,BE,2-Jul,6.78,102.6,95.8,75,-0.06,-10.04,93.9,103.9,-10.04
101,Kent St.,MAC,1-Jul,6.74,102.6,95.8,70.8,0.165,-0.26,100.9,101.2,-0.26
102,South Carolina,SEC,3-Jun,6.71,102.7,96,73.5,0.018,-6.25,94.8,101.1,-6.25
103,UCF,Amer,2-May,6.37,102.2,95.9,68.7,0.039,-0.01,102.1,102.1,-0.01
104,UC Irvine,BW,4-May,6.31,101.6,95.3,69.8,-0.077,4.39,102.2,97.8,4.39
105,UTEP,CUSA,1-May,5.79,96.8,91,68.5,-0.036,6.28,104.6,98.3,6.28
106,Bowling Green,MAC,2-Jun,5.7,103.8,98.1,74.1,0.123,6.85,103.8,97,6.85
107,Tulsa,Amer,1-Jul,5.5,100.4,94.9,65.6,0.116,-10.68,95.4,106.1,-10.68
